Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
LED32,LED_SK6812MINI,LED_SK6812MINI,170.22475,-40.718,180.0,bottom
LED33,LED_SK6812MINI,LED_SK6812MINI,174.98725,-59.768,0.0,bottom
LED34,LED_SK6812MINI,LED_SK6812MINI,167.8435,-78.808,180.0,bottom
LED35,LED_SK6812MINI,LED_SK6812MINI,163.081,-97.848,0.0,bottom
LED36,LED_SK6812MINI,LED_SK6812MINI,177.3685,-116.888,180.0,bottom
LED4,LED_SK6812MINI,LED_SK6812MINI,46.44975,-40.718,180.0,bottom
LED5,LED_SK6812MINI,LED_SK6812MINI,55.97475,-59.768,0.0,bottom
LED6,LED_SK6812MINI,LED_SK6812MINI,60.73475,-78.808,180.0,bottom
LED7,LED_SK6812MINI,LED_SK6812MINI,51.21475,-97.848,0.0,bottom
LED8,LED_SK6812MINI,LED_SK6812MINI,48.831,-116.888,180.0,bottom
LED9,LED_SK6812MINI,LED_SK6812MINI,65.48975,-40.718,180.0,bottom
SW1,BOOT button,Button_TL3342,104.54975,-143.250419,180.0,bottom
